Neighborhood Name,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Arroios,38.728889,-9.138889,Churrasqueira do Zubir,38.72811994027808,-9.134117763043033,BBQ Joint
Arroios,38.728889,-9.138889,Be Lisbon,38.731623678317064,-9.140027323011626,Hotel
Arroios,38.728889,-9.138889,Vila Garden Guest House,38.730409,-9.134692,Hotel
Arroios,38.728889,-9.138889,Leo Restaurante,38.72731503990571,-9.133915454149246,Indian Restaurant
Arroios,38.728889,-9.138889,Espiral,38.732179157821214,-9.140671192878482,Vegetarian / Vegan Restaurant
Arroios,38.728889,-9.138889,Jardim Constantino,38.731012,-9.137064,Garden
Arroios,38.728889,-9.138889,Grande Palácio Hong-Kong,38.73123303449708,-9.134153317048295,Chinese Restaurant
Arroios,38.728889,-9.138889,Sabores de Gôa,38.72725163160652,-9.13387753535548,Indian Restaurant
Arroios,38.728889,-9.138889,Pomar Fresco,38.72841474765345,-9.134727637271471,Fruit & Vegetable Store
Arroios,38.728889,-9.138889,Anjos70,38.72535446174374,-9.135667669381613,Cultural Center
Arroios,38.728889,-9.138889,Pastelaria Monte Rei,38.73129160713948,-9.135208839966783,Café
Arroios,38.728889,-9.138889,Hotel Travel Park,38.727165866030525,-9.134800454286937,Hotel
Arroios,38.728889,-9.138889,Quiosque do Coreto,38.730082635740814,-9.144091947543382,Café
Arroios,38.728889,-9.138889,Deliart Caffé,38.72893131413648,-9.144101618750554,Mediterranean Restaurant
Arroios,38.728889,-9.138889,Hotel Ibis Lisboa Saldanha,38.73189820992718,-9.142506067906801,Hotel
Arroios,38.728889,-9.138889,Ambiente hostel,38.72914593446186,-9.134458601474762,Hostel
Arroios,38.728889,-9.138889,Health & Fun,38.731205874215114,-9.134011789006417,Gym
Arroios,38.728889,-9.138889,Restaurante Ideal lisboa,38.72963037558645,-9.134220939249495,Portuguese Restaurant
Arroios,38.728889,-9.138889,O Paradouro Residencial,38.73123586096964,-9.134075004514862,Hostel
Arroios,38.728889,-9.138889,Sereia Do Mar,38.7313242823099,-9.134454047111008,Seafood Restaurant
Arroios,38.728889,-9.138889,Espaço FA,38.726607364351764,-9.134322318812709,Coffee Shop
Avenidas Novas,38.738889,-9.145833,Nómada,38.738059676803914,-9.147615283716467,Sushi Restaurant
Avenidas Novas,38.738889,-9.145833,Jupiter Lisboa Hotel,38.739596039183716,-9.146190344442255,Hotel
Avenidas Novas,38.738889,-9.145833,Fogo de Chão,38.73972961667416,-9.14320953522899,Brazilian Restaurant
Avenidas Novas,38.738889,-9.145833,Fitness Hut,38.73920704101543,-9.14710274021049,Gym / Fitness Center
Avenidas Novas,38.738889,-9.145833,Bellezza D'Itália,38.738405690224944,-9.145972132270964,Italian Restaurant
Avenidas Novas,38.738889,-9.145833,Choupana Caffe,38.736408,-9.14586,Café
Avenidas Novas,38.738889,-9.145833,Culturgest,38.74082785428755,-9.142939247885622,Art Gallery
Avenidas Novas,38.738889,-9.145833,Óh Pereira,38.740023955559835,-9.142636249355892,Brewery
Avenidas Novas,38.738889,-9.145833,Lateral Bistro,38.739854,-9.148798,Restaurant
Avenidas Novas,38.738889,-9.145833,Gula's For Kitchen Lovers,38.73726294504144,-9.141969805101285,Restaurant
Avenidas Novas,38.738889,-9.145833,Club Life To Go,38.738901,-9.147616,Health Food Store
